"","cases","Country","Population","Popchange","Density","Migrant","Fert","MedAge","Urban","WorldShare","log_cases","log_casespop"
"123",11295.9955,"Slovenia",2078938,26,103,2000,6,31,39,4,9.33220356136184,0.641504616185722
"124",92.1996,"Somalia",15893222,161,25,-40000,49,3,31,20,4.52395579215834,0.272833107901458
"125",14542.9375,"South Africa",59308690,102,49,145405,14,14,51,51,9.58486075956826,0.535518946213998
"126",1078075,"Spain",46754778,28,94,40000,3,31,63,46,13.8906876013148,0.786543133533746
"127",2042,"Sri Lanka",21413249,50,341,-97986,12,20,8,27,7.62168499872461,0.451534452274301
"128",108.2176,"Sudan",43849260,141,25,-50000,34,6,21,43,4.68414401492192,0.26620098694761
"129",61.9722,"Suriname",586632,76,4,-1000,14,15,49,2,4.12668589739276,0.310694049514294
"130",60583,"Sweden",10099265,62,25,40000,9,27,71,14,11.0117696046492,0.682774547265958
"131",211346.2275,"Switzerland",8654622,69,219,52000,5,29,58,12,12.261252956297,0.767594645606787
"132",257.8888,"Tanzania",59734218,164,67,-40076,39,4,23,52,5.55252848425914,0.310103301397969
"133",20231,"Thailand",69799978,41,137,19444,5,26,35,56,9.91497136047741,0.548966954797428
"134",393.8248,"Togo",8278724,142,152,-2000,34,5,27,12,5.97590614035213,0.375154205005039
"135",977.7775,"Trinidad and Tobago",1399488,45,273,-800,7,22,36,3,6.88528213903913,0.486536777565042
"136",3858,"Tunisia",11818619,86,76,-4000,12,19,54,16,8.25790419346567,0.507080718924166
"137",113546.2433,"Turkey",84339067,89,110,283922,11,18,60,58,11.6399654628825,0.637793894335556
"138",380,"Uganda",45741007,171,229,168694,40,3,14,45,5.94017125272043,0.336772929229548
"139",5858.1656,"Ukraine",43733762,17,75,10000,4,27,53,43,8.67559179602192,0.493109797623191
"140",8951,"United Arab Emirates",9890402,98,118,40000,4,19,69,14,9.09952053687094,0.564939341202774
"141",267985.0753,"United Kingdom",67886011,56,281,260650,8,26,66,55,12.4986865687632,0.693087702507243
"142",3731.2342,"Uruguay",3473730,46,20,-3000,10,22,78,5,8.22449434262608,0.546088347204367
"143",1739.5853,"Uzbekistan",33469203,109,79,-8863,14,14,34,36,7.46140203046934,0.430644312053856
"144",1671.4103,"Venezuela",28435940,10,32,-653249,13,16,81,31,7.42142304004685,0.432404122503448
"145",3726,"Vietnam",97338579,77,314,-80000,11,18,24,60,8.22309055116153,0.447060019730608
"146",336.2833,"Zambia",18383955,162,25,-8000,37,4,29,24,5.81795395946981,0.347818368156474
"147",109,"Zimbabwe",14862924,109,38,-116858,26,5,24,19,4.69134788222914,0.284076531086348
"148",21.321,"Grenada",112523,53,331,-200,11,18,21,1,3.05969250251287,0.26306554975175
"149",121.529562,"Mozambique",31255435,162,40,-5000,39,4,24,34,4.80015754182783,0.278145782695226
"150",132.996815,"Syria",17500658,146,95,-427391,18,12,44,22,4.89032518056659,0.293224533440889
"151",138.727539,"Timor-Leste",1318445,131,89,-5385,31,7,20,3,4.93251185844131,0.350023035043836
"152",182.495496,"Laos",7275560,109,32,-14704,17,10,22,10,5.20672549326595,0.329538934442795
"153",82.228331,"Libya",6871292,105,4,-1999,13,15,61,10,4.40949990204814,0.280095176024714
"154",43.8196,"Guinea-Bissau",1968001,144,70,-1399,35,5,29,4,3.78008120587372,0.260829648238595
"155",208.003834,"Mali",20250833,166,17,-40000,47,2,28,26,5.33755651222375,0.317264005795352
"156",43.6849,"Botswana",2351627,133,4,3000,19,10,57,4,3.77700250463218,0.257453537947887
"157",39.9189,"Burundi",11890784,168,463,2001,44,3,5,16,3.68684989595339,0.226308258625358
"158",40.301525,"Malawi",19129952,154,203,-16053,33,4,8,25,3.69638930942774,0.220459291100407
